drug_name,num_prescriber,total_cost
PROZAC WEEKLY,2,5236.550000
CYTOMEL,6,5221.320000
METHYLDOPA,25,5216.670000
GOLYTELY,6,5200.670000
ROCALTROL,4,5186.340000
SELENIUM SULFIDE,15,5112.700000
ACTIVELLA,2,5021.770000
CATAPRES-TTS 1,2,5002.500000
CLINIMIX E,2,4983.060000
CORGARD,2,4891.430000
TRIMETHOBENZAMIDE HCL,4,4886.770000
TOBRAMYCIN SULFATE,5,4792.670000
GRISEOFULVIN ULTRAMICROSIZE,1,4708.590000
RESCRIPTOR,1,4646.750000
INSUPEN,5,4636.550000
EPIDUO,1,4602.310000
PROTRIPTYLINE HCL,3,4561.320000
FLAVOXATE HCL,3,4486.520000
AVANDIA,1,4484.450000
QUALAQUIN,2,4464.630000
DEXMETHYLPHENIDATE HCL,5,4454.450000
HALDOL DECANOATE 100,1,4398.240000
NEXIUM I.V.,1,4392.540000
PROMETHAZINE VC,8,4367.410000
MAPROTILINE HCL,3,4341.920000
ZONTIVITY,1,4333.940000
PERINDOPRIL ERBUMINE,10,4316.320000
RITALIN,4,4313.430000
FEMRING,1,4310.160000
CLINDAMYCIN-BENZOYL PEROXIDE,1,4286.770000
ISONIAZID,31,4190.190000
METADATE ER,3,4184.480000
SURE COMFORT ALCOHOL,17,4107.120000
AMCINONIDE,1,4099.900000
OLEPTRO ER,2,4098.830000
TWYNSTA,2,4063.130000
DIASTAT ACUDIAL,1,4047.420000
SONATA,1,4044.890000
TELMISARTAN-AMLODIPINE,2,4038.560000
MINASTRIN 24 FE,3,4012.630000
INCONTROL PEN NEEDLE,9,3974.960000
CIPROFLOXACIN-D5W,3,3938.900000
MEPERIDINE HCL,5,3936.250000
PRINIVIL,4,3930.150000
EASY-TOUCH INSULIN SYRINGE,11,3903.730000
TETRACYCLINE HCL,2,3900.540000
CORTIFOAM,1,3880.140000
PRED MILD,2,3877.890000
APRI,13,3838.600000
EASY TOUCH ALCOHOL PREP PADS,24,3837.980000
SINEMET 25-100,2,3777.310000
APRACLONIDINE HCL,2,3721.080000
MACRODANTIN,1,3698.490000
NIFEDIPINE,5,3675.380000
MIACALCIN,1,3671.280000
VOLTAREN-XR,1,3665.040000
GLUCOTROL XL,3,3654.680000
BUPAP,1,3645.960000
METHYLPREDNISOLONE SOD SUCC,5,3640.030000
PRAMOSONE,1,3628.010000
BRISDELLE,2,3607.830000
PREDNISOLONE,12,3607.790000
DEXTROSE 5%-0.45% NACL-KCL,2,3481.000000
IVERMECTIN,5,3468.740000
TOBREX,2,3462.780000
STRIVERDI RESPIMAT,2,3455.800000
URELLE,1,3445.050000
ZESTORETIC,1,3437.170000
ORTHO TRI-CYCLEN LO,2,3436.870000
ESTROPIPATE,16,3425.430000
SODIUM CITRATE & CITRIC ACID,3,3369.660000
XYZAL,2,3356.120000
BLEPHAMIDE S.O.P.,2,3344.630000
KENALOG-40,11,3337.870000
ATACAND HCT,2,3335.210000
METHSCOPOLAMINE BROMIDE,2,3260.750000
DAYPRO,1,3241.720000
SULFACETAMIDE-PREDNISOLONE,4,3239.930000
NATACYN,1,3224.930000
CELONTIN,1,3220.130000
DAYTRANA,1,3216.360000
ZANTAC,1,3206.600000
PROCHLORPERAZINE,2,3203.020000
TESTOSTERONE ENANTHATE,3,3181.650000
ACCUPRIL,2,3179.030000
FML,1,3166.080000
CARDURA,2,3152.100000
PREDNISOLONE SODIUM PHOSPHATE,3,3114.600000
FLUOXETINE DR,1,3111.880000
RIMSO-50,1,2954.790000
NEOMYCIN-POLYMYXIN B,1,2954.560000
LASIX,9,2941.950000
CLARINEX-D 12 HOUR,1,2941.000000
INTERMEZZO,1,2938.010000
SPRINTEC,17,2905.370000
VEXOL,2,2904.450000
BUTALBITAL-ACETAMINOPHEN,3,2898.550000
MOXEZA,2,2875.860000
TIAZAC,3,2875.720000
AMARYL,3,2825.480000
OXYCODONE HCL-ASPIRIN,3,2820.830000
ULTRAM ER,1,2819.490000
MEDROL,3,2810.980000
LOPID,1,2797.060000
CILOXAN,1,2791.180000
ZESTRIL,1,2745.340000
ALPRAZOLAM ODT,2,2725.420000
COMPRO,2,2693.620000
ZOLMITRIPTAN ODT,3,2657.630000
MOEXIPRIL-HYDROCHLOROTHIAZIDE,8,2636.150000
AZACTAM-ISO-OSMOTIC DEXTROSE,1,2557.930000
CLARINEX,1,2505.040000
ACCOLATE,1,2451.770000
FIORICET,1,2435.770000
GENTAK,8,2417.820000
UNIFINE PENTIPS PLUS,5,2398.940000
RETIN-A,2,2370.590000
PFIZERPEN,1,2369.890000
BACITRACIN-POLYMYXIN,9,2352.850000
TRI-SPRINTEC,13,2351.620000
RIOMET,1,2346.770000
RELNATE DHA,1,2295.840000
VERELAN,1,2279.880000
ADVOCATE SYRINGES,1,2207.600000
DEPO-ESTRADIOL,1,2185.820000
TIMOPTIC-XE,1,2140.480000
NORTREL,9,2108.070000
ALPRAZOLAM XR,7,2100.510000
PRAVACHOL,1,2083.200000
GLUCOTROL,2,2083.190000
CETIRIZINE HCL,6,2078.850000
METHYCLOTHIAZIDE,3,2051.610000
GIANVI,3,2044.030000
FML S.O.P.,1,2022.120000
SOLU-MEDROL,5,2007.080000
K-SOL,1,2002.390000
TYLENOL-CODEINE NO.4,1,1996.830000
NALBUPHINE HCL,1,1993.200000
MIMVEY LO,1,1984.950000
ACETIC ACID-ALUMINUM,2,1973.710000
JUNEL FE,7,1970.800000
NITRO-BID,3,1954.550000
NORPRAMIN,1,1947.310000
NORPACE,1,1920.240000
SUPRAX,1,1917.690000
QUESTRAN,1,1911.390000
PREVIDENT,9,1894.700000
ELIXOPHYLLIN,2,1874.530000
SF 5000 PLUS,11,1872.600000
NIACOR,8,1868.280000
LITHIUM,7,1861.260000
ALTABAX,1,1851.130000
ENJUVIA,1,1839.420000
MEFLOQUINE HCL,2,1835.140000
TRINESSA,9,1824.730000
NECON,7,1823.150000
ZIAC,1,1809.240000
CORZIDE,1,1774.230000
BALZIVA,5,1740.810000
SOLU-CORTEF,3,1740.750000
PROCHLORPERAZINE EDISYLATE,1,1715.080000
CARISOPRODOL COMPOUND-CODEINE,1,1710.800000
NARDIL,1,1708.330000
PREPLUS,7,1708.290000
LEVORPHANOL TARTRATE,1,1685.940000
GILDESS FE,8,1684.590000
MAGELLAN INSULIN SYRINGE,3,1663.530000
LESCOL,1,1643.890000
FLUCONAZOLE-NACL,2,1596.090000
DERMATOP,1,1582.050000
ADALAT CC,1,1579.810000
PREMPHASE,1,1575.240000
METAPROTERENOL SULFATE,2,1560.200000
TENORETIC 50,1,1553.120000
CRYSELLE,6,1529.120000
PROSCAR,1,1521.500000
LO LOESTRIN FE,1,1477.030000
QUINIDINE SULFATE,5,1476.990000
PRENATE DHA,1,1475.370000
PROTONIX IV,1,1469.830000
CYCLOPENTOLATE HCL,4,1468.810000
ZYLOPRIM,1,1460.880000
CLORPRES,1,1452.690000
SANDIMMUNE,1,1452.220000
DIVIGEL,1,1440.410000
BENZONATATE,6,1436.020000
DUAVEE,1,1435.820000
PRIMAQUINE,1,1433.790000
MICROGESTIN FE,6,1431.730000
NUVARING,1,1426.160000
LITE TOUCH,3,1401.390000
LOW-OGESTREL,6,1388.430000
TRI-PREVIFEM,7,1379.400000
MAGELLAN INSULIN SAFETY SYRNG,2,1374.040000
VECTICAL,1,1365.140000
MONO-LINYAH,8,1364.450000
ZARAH,2,1360.150000
XULANE,1,1357.600000
PROMETRIUM,1,1352.850000
PRENATE CHEWABLE,1,1339.590000
PLETAL,1,1307.760000
REQUIP XL,1,1304.620000
POTASSIUM PHOSPHATE,1,1303.930000
BACTROBAN NASAL,2,1291.970000
MAXZIDE,1,1273.440000
OCELLA,2,1266.800000
ALCOHOL SWABS,23,1246.450000
VIRAMUNE,1,1246.040000
YASMIN 28,1,1245.130000
CARDURA XL,1,1240.110000
MENOSTAR,1,1230.670000
VITAMEDMD ONE RX,1,1208.190000
ASSURE ID INSULIN SAFETY,2,1205.960000
PREVIDENT 5000,6,1202.850000
STROMECTOL,3,1193.910000
PROCALAMINE,1,1171.970000
MONONESSA,4,1169.030000
SYEDA,2,1165.350000
CAMILA,5,1164.900000
PREFEST,1,1163.910000
WATER,6,1149.740000
AZURETTE,3,1146.580000
PROPRANOLOL-HYDROCHLOROTHIAZID,3,1131.360000
ALYACEN,4,1126.600000
ORSYTHIA,5,1111.540000
ZOVIA 1-50E,3,1091.170000
KARIVA,3,1088.160000
TETANUS DIPHTHERIA TOXOIDS,2,1081.570000
MINI ULTRA-THIN II,2,1079.290000
PHOSPHOLINE IODIDE,1,1067.540000
PAPAVERINE HCL,1,1066.400000
DROXIA,3,1062.940000
NORGESTIMATE-ETHINYL ESTRADIOL,5,1023.310000
LOMEDIA 24 FE,1,1020.180000
EPROSARTAN MESYLATE,1,1009.970000
UNITHROID,6,994.030000
DEMADEX,1,984.260000
PAMIDRONATE DISODIUM,2,974.550000
HEALTHY ACCENTS UNIFINE PENTIP,3,971.610000
CLEMASTINE FUMARATE,3,968.500000
DEXTROSE 5%-0.9% NACL,2,934.130000
AVIANE,4,911.760000
WYMZYA FE,1,880.620000
ALORA,1,875.860000
CISPLATIN,1,856.820000
SF,5,842.600000
ERRIN,3,836.860000
CATAPRES,1,811.930000
ZENCHENT FE,1,811.680000
KLOR-CON M15,2,809.140000
PORTIA,4,801.210000
SAFETYGLIDE INSULIN SYRINGE,1,797.490000
LACTATED RINGERS,1,793.810000
TRIVORA-28,3,781.750000
METHYLPREDNISOLONE ACETATE,4,769.970000
HYDROMET,1,764.770000
TRI-LEGEST FE,2,762.090000
LEVORA-28,3,757.620000
CYCLAFEM,3,754.020000
LOPREEZA,1,748.490000
CEFACLOR,2,741.070000
MARGESIC,1,730.860000
VANISHPOINT,1,729.630000
URIN D.S.,4,723.890000
PEG-3350 WITH FLAVOR PACKS,2,717.080000
METHENAMINE MANDELATE,1,716.310000
DENTA 5000 PLUS,7,714.050000
GILDESS,3,710.080000
OGESTREL,1,707.080000
CHLOROTHIAZIDE,2,706.170000
EASY TOUCH INSULIN SYRINGE,4,705.810000
VESTURA,1,696.930000
NOVOFINE PLUS,1,691.010000
PNV-DHA,1,673.530000
COLY-MYCIN S,1,671.000000
LOTENSIN,1,663.850000
MAXZIDE-25 MG,1,636.350000
ENPRESSE,2,634.270000
AMOX TR-POTASSIUM CLAVULANATE,2,626.430000
FALMINA,3,614.260000
NORETHINDRONE,2,601.410000
NEOMYCIN-POLYMYXIN-GRAMICIDIN,1,596.350000
VELIVET,2,577.130000
DEXTROSE IN LACTATED RINGERS,1,576.920000
METIPRANOLOL,2,563.720000
NADOLOL-BENDROFLUMETHIAZIDE,1,558.870000
VANCOMYCIN-D5W,1,535.530000
TRI-LINYAH,3,526.140000
PROVERA,1,521.510000
ENGERIX-B ADULT,1,517.000000
NAPHAZOLINE HCL,4,506.920000
K-PHOS ORIGINAL,1,501.130000
RECLIPSEN,2,484.320000
TENIVAC,1,479.600000
BUPROBAN,1,465.030000
CARTEOLOL HCL,3,463.540000
PRENATAL VITAMIN PLUS LOW IRON,3,462.240000
PREVIFEM,3,439.060000
VIORELE,1,435.740000
CARBINOXAMINE MALEATE,1,427.000000
LUTERA,2,422.270000
DASETTA,2,413.820000
NORA-BE,2,412.170000
LEVONEST,2,407.980000
RELION PEN NEEDLES,1,407.680000
MICROZIDE,1,385.440000
CORTISONE ACETATE,1,384.650000
FLUMAZENIL,1,373.790000
ULTRA-THIN II,1,370.950000
JOLIVETTE,2,350.030000
SURE-PREP ALCOHOL PREP PADS,1,346.430000
ALTAVERA,1,324.640000
JUNEL,1,315.000000
MIDAZOLAM HCL,1,310.160000
NULYTELY WITH FLAVOR PACKS,1,306.440000
ORACIT,1,298.110000
TOLAZAMIDE,1,288.300000
MARLISSA,1,285.920000
LARIN,1,254.800000
ALCOHOL SWAB,5,254.150000
PHILITH,1,253.720000
PROCTO-PAK,1,249.440000
PREVIDENT 5000 PLUS,1,246.730000
CAZIANT,1,235.840000
ZOVIA 1-35E,1,232.760000
MICROGESTIN,1,225.900000
K EFFERVESCENT,1,215.910000
LARIN FE,1,194.820000
DENTAGEL,2,191.780000
EMOQUETTE,1,181.290000
DESOGESTREL-ETHINYL ESTRADIOL,1,180.760000
PREVIDENT 5000 SENSITIVE,1,154.370000
MAGNESIUM SULFATE,2,146.080000
VOL-PLUS,1,129.690000
ENSKYCE,1,108.000000
ALCOHOL PREP SWABS,3,92.130000
PERIOGARD,1,86.010000
XYLOCAINE-MPF,1,83.630000
LEVONORGESTREL-ETH ESTRADIOL,1,80.740000
